Adult (15) literacy rate;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Jordan;-1;-1;-1;-1;66.79680827;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;89.89232425;-1;91.13075164;-1;92.19957688;-1;-1;92.55104289;95.90445298
Kazakhstan;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;97.5293835;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.51265808;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.73241104;-1;99.73241104
Kenya;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;82.22907531;-1;-1;-1;-1;-1;-1;72.15702816;-1;-1;-1;72.15702816
Kiribati;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Korea. Dem. Rep.;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.99826243;-1;-1;99.99826243
Korea. Rep.;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Kuwait;59.5643924;-1;-1;-1;-1;67.5176582;-1;-1;-1;-1;74.49086751;-1;-1;-1;-1;-1;-1;-1;-1;-1;78.39550336;-1;-1;-1;-1;-1;-1;-1;-1;-1;93.27446435;93.28212289;93.66418515;93.90620595;-1;-1;-1
Kyrgyzstan;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;98.70161259;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.24140488;-1;99.24140488
Laos;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;60.2513332;-1;-1;-1;-1;69.58311889;68.73439465;-1;-1;-1;72.7022592;-1;-1;-1;-1;-1;72.7022592
Latvia;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.45230035;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.74656994;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.78424
Lebanon;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;89.61243888;-1;-1;-1;-1
Lesotho;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;86.25443487;-1;-1;-1;-1;-1;-1;-1;-1;75.80020232;-1;75.80020232
Liberia;-1;-1;-1;-1;-1;-1;-1;-1;-1;32.10676616;-1;-1;-1;-1;-1;-1;-1;-1;-1;43.46086;-1;-1;-1;-1;-1;-1;-1;-1;-1;54.77813;-1;-1;42.94108407;-1;-1;-1;42.94108407
Libya;-1;-1;-1;-1;-1;-1;-1;-1;-1;60.16439333;-1;-1;-1;-1;-1;-1;-1;-1;-1;77.21518;-1;-1;-1;-1;-1;-1;-1;-1;-1;86.11627;-1;-1;-1;-1;-1;-1;89.5361
